seed,cell,policy,k,epsilon_label,success_rate,mean_steps,mean_final_distance,mean_total_reward,frac_success_T_le_3,frac_success_T_4_or_5,frac_success_T_gt_5,mean_tox_path,mean_common_essential_per_ep,fraction_zero_common_essential,mean_unc_path_max,mean_unc_path_mean
0,k3_bin8-10_splitood,random_uniform_valid,3,p15,0.305,2.855,3.5931812469719295,0.2737460877888273,1.0,0.0,0.0,0.041691109780222176,0.13,0.875,0.4116960246630096,0.3569137143562803
0,k3_bin8-10_splitood,always_noop,3,p15,0.0,0.0,8.540443205824255,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0,k3_bin8-10_splitood,greedy_dyn_1_fused,3,p15,1.0,2.295,2.5134370783092326,0.979077314395065,1.0,0.0,0.0,0.0,0.0,1.0,0.4184537120987031,0.3733920336320156
0,k3_bin8-10_splitood,greedy_dyn_2_fused,3,p15,1.0,2.305,2.5325161647514487,0.9790391635872436,1.0,0.0,0.0,0.0,0.0,1.0,0.41921672825512474,0.3688634196280243
0,k3_bin8-10_splitood,greedy_dyn_3_fused,3,p15,1.0,2.305,2.6094827681924007,0.9787367328482892,1.0,0.0,0.0,0.0,0.0,1.0,0.4252653430342127,0.369747801698826
0,k4_bin8-10_splitood,PPO_BCD,4,p15,1.0,2.295,2.708559353613575,0.97980090862913,1.0,0.0,0.0,0.0,0.0,1.0,0.4039818274173996,0.37210102882359863
0,k4_bin8-10_splitood,random_uniform_valid,4,p15,0.535,3.61,3.25736337250961,0.4894234382872623,0.5420560747663551,0.45794392523364486,0.0,0.0423122088983655,0.13,0.885,0.4229068164580231,0.356449408346987
0,k4_bin8-10_splitood,always_noop,4,p15,0.0,0.0,8.540443205824255,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0,k4_bin8-10_splitood,greedy_dyn_1_fused,4,p15,1.0,2.295,2.5134370783092326,0.979077314395065,1.0,0.0,0.0,0.0,0.0,1.0,0.4184537120987031,0.3733920336320156
0,k4_bin8-10_splitood,greedy_dyn_2_fused,4,p15,1.0,2.305,2.5325161647514487,0.9790391635872436,1.0,0.0,0.0,0.0,0.0,1.0,0.41921672825512474,0.3688634196280243
0,k4_bin8-10_splitood,greedy_dyn_3_fused,4,p15,1.0,2.305,2.6094827681924007,0.9787367328482892,1.0,0.0,0.0,0.0,0.0,1.0,0.4252653430342127,0.369747801698826
0,k5_bin8-10_splitood,PPO_BCD,5,p15,1.0,2.295,2.708559353613575,0.97980090862913,1.0,0.0,0.0,0.0,0.0,1.0,0.4039818274173996,0.37210102882359863
0,k5_bin8-10_splitood,random_uniform_valid,5,p15,0.58,4.115,3.2241990388848047,0.5179833663820688,0.4827586206896552,0.5172413793103449,0.0,0.06890794469043612,0.21,0.8,0.42051678297775213,0.3482175803228536
0,k5_bin8-10_splitood,always_noop,5,p15,0.0,0.0,8.540443205824255,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0,k5_bin8-10_splitood,greedy_dyn_1_fused,5,p15,1.0,2.295,2.5134370783092326,0.979077314395065,1.0,0.0,0.0,0.0,0.0,1.0,0.4184537120987031,0.3733920336320156
0,k5_bin8-10_splitood,greedy_dyn_2_fused,5,p15,1.0,2.305,2.5325161647514487,0.9790391635872436,1.0,0.0,0.0,0.0,0.0,1.0,0.41921672825512474,0.3688634196280243
0,k5_bin8-10_splitood,greedy_dyn_3_fused,5,p15,1.0,2.305,2.6094827681924007,0.9787367328482892,1.0,0.0,0.0,0.0,0.0,1.0,0.4252653430342127,0.369747801698826
0,k5_bin8-10_splitood,greedy_dyn_5_fused,5,p15,1.0,2.305,2.5730757550398864,0.9786908064600081,1.0,0.0,0.0,0.0,0.0,1.0,0.42618387079983605,0.37092609045635994
0,k8_bin8-10_splitood,PPO_BCD,8,p15,1.0,2.295,2.708559353613575,0.97980090862913,1.0,0.0,0.0,0.0,0.0,1.0,0.4039818274173996,0.37210102882359863
0,k8_bin8-10_splitood,random_uniform_valid,8,p15,0.78,4.765,3.097662889088196,0.6414880947893312,0.42948717948717946,0.33974358974358976,0.23076923076923078,0.045805499562993644,0.2,0.82,0.4206271050873913,0.3454746765407327
0,k8_bin8-10_splitood,always_noop,8,p15,0.0,0.0,8.540443205824255,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0,k8_bin8-10_splitood,greedy_dyn_1_fused,8,p15,1.0,2.295,2.5134370783092326,0.979077314395065,1.0,0.0,0.0,0.0,0.0,1.0,0.4184537120987031,0.3733920336320156
0,k8_bin8-10_splitood,greedy_dyn_2_fused,8,p15,1.0,2.305,2.5325161647514487,0.9790391635872436,1.0,0.0,0.0,0.0,0.0,1.0,0.41921672825512474,0.3688634196280243
0,k8_bin8-10_splitood,greedy_dyn_3_fused,8,p15,1.0,2.305,2.6094827681924007,0.9787367328482892,1.0,0.0,0.0,0.0,0.0,1.0,0.4252653430342127,0.369747801698826
